	Unnamed: 0	index	genome	identifier	file	clip	scale	sum_stat	description	track_type
0	0	0	1	ENCFF866ZTV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMK/summary/coverage.w5	32	2	mean	DNASE:B6D2F1/J 416B	DNASE
1	1	1	1	ENCFF695LHM	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CML/summary/coverage.w5	32	2	mean	DNASE:BALB/cAnN A20	DNASE
2	2	2	1	ENCFF079SPZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMM/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 B cell male adult (8 weeks)	DNASE
3	3	3	1	ENCFF798VSP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMN/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 splenic B cell male adult (8 weeks)	DNASE
4	4	4	1	ENCFF474GND	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMO/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 cerebellum male adult (8 weeks)	DNASE
5	5	5	1	ENCFF395AJZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMP/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 telencephalon male adult (8 weeks)	DNASE
6	6	6	1	ENCFF990TBH	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMR/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-negative CD71-positive TER-119-positive erythroid progenitor cells male embryo (14.5 days)	DNASE
7	7	7	1	ENCFF443PWY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMS/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells male embryo (14.5 days)	DNASE
8	8	8	1	ENCFF680ZTZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMT/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells male embryo (14.5 days)	DNASE
9	9	9	1	ENCFF649DYS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMU/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells male embryo (14.5 days)	DNASE
10	10	10	1	ENCFF680PQC	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMV/summary/coverage.w5	32	2	mean	DNASE:129 ES-CJ7	DNASE
11	11	11	1	ENCFF872IES	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMW/summary/coverage.w5	32	2	mean	DNASE:129 ES-E14	DNASE
12	12	12	1	ENCFF974BRL	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMX/summary/coverage.w5	32	2	mean	DNASE:mixed WW6	DNASE
13	13	13	1	ENCFF660XSJ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMY/summary/coverage.w5	32	2	mean	DNASE:mixed WW6	DNASE
14	14	14	1	ENCFF391SPW	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNA/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 fibroblast of lung male adult (8 weeks)	DNASE
15	15	15	1	ENCFF837OUY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNB/summary/coverage.w5	32	2	mean	DNASE:CD-1 forelimb bud male embryo (11.5 days)	DNASE
16	16	16	1	ENCFF090NJT	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNC/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 gonadal fat pad male adult (8 weeks)	DNASE
17	17	17	1	ENCFF227XDD	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CND/summary/coverage.w5	32	2	mean	DNASE:CD-1 embryo male embryo (11.5 days) depleted in head	DNASE
18	18	18	1	ENCFF773NKY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNE/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 heart male adult (8 weeks)	DNASE
19	19	19	1	ENCFF037VPV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNF/summary/coverage.w5	32	2	mean	DNASE:CD-1 hindlimb bud male embryo (11.5 days)	DNASE
20	20	20	1	ENCFF561HSI	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNG/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 kidney male adult (8 weeks)	DNASE
21	21	21	1	ENCFF650OFZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CNH/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 large intestine male adult (8 weeks)	DNASE
